event_id,machine_id,plant_id,date_key,fault_id,operator_id,downtime_minutes
1,212,3,20220722,1,1965,181
2,482,8,20241118,1,2660,16
3,2,1,20230830,5,566,40
4,284,10,20240528,2,1948,237
5,366,6,20220311,3,2895,196
6,341,5,20220906,5,2669,215
7,38,5,20220205,3,2550,161
8,222,2,20240707,4,1947,76
9,220,4,20240614,5,373,60
10,292,8,20220101,4,2013,152
11,457,3,20241015,4,1053,209
12,258,8,20240401,3,2465,17
13,30,9,20220712,5,937,121
14,397,9,20220828,5,985,43
15,360,4,20230810,1,2034,78
16,322,9,20230502,2,287,134
17,31,6,20221217,3,2449,221
18,414,9,20240710,2,658,79
19,215,6,20220503,2,741,79
20,249,6,20240708,4,2098,122
21,368,9,20231010,1,2880,164
22,139,4,20220127,1,2909,49
23,271,1,20230903,1,1232,219
24,202,6,20230609,2,829,69
25,207,2,20240728,1,2484,78
26,228,3,20230109,5,2335,207
27,466,5,20221204,4,1727,208
28,169,7,20240402,3,2518,67
29,354,9,20230924,1,762,199
30,201,4,20241222,2,1363,34
31,173,8,20220907,3,552,56
32,241,9,20220305,5,1489,23
33,96,6,20240829,3,398,122
34,174,8,20221224,3,629,31
35,273,5,20230806,5,2531,122
36,32,1,20230525,3,2541,74
37,303,1,20240313,3,1753,60
38,76,4,20230415,3,1214,126
39,44,6,20230801,1,643,45
40,136,8,20240812,2,2889,50
41,462,1,20241003,3,427,91
42,270,8,20220219,4,1395,75
43,387,10,20240405,1,731,10
44,393,5,20230118,4,724,198
45,344,1,20241115,3,419,180
46,442,2,20230202,1,409,190
47,374,8,20230811,2,468,39
48,161,8,20230803,3,927,33
49,359,5,20240130,5,560,14
50,57,1,20230211,3,2347,144
51,274,7,20240211,5,1503,11
52,449,2,20240423,1,329,128
53,234,4,20220330,2,2509,182
54,482,2,20230213,2,2431,210
55,257,3,20221124,3,2211,95
56,172,4,20220314,3,1510,217
57,118,4,20230731,2,698,213
58,155,1,20240719,3,91,156
59,223,8,20220814,4,1011,51
60,375,1,20230113,1,2589,205
61,171,1,20230826,2,1055,41
62,41,5,20231213,1,2522,116
63,3,7,20230403,5,1980,153
64,7,5,20231112,1,333,65
65,492,6,20240426,5,646,205
66,156,2,20230617,1,2638,68
67,428,6,20230215,3,2945,17
68,139,4,20241103,2,2186,222
69,82,10,20230409,1,1840,65
70,103,7,20230207,2,2654,190
71,486,1,20231119,5,2943,183
72,380,8,20220925,4,1927,168
73,464,9,20220524,5,1626,227
74,194,4,20241206,5,1617,207
75,52,9,20240405,4,795,194
76,395,7,20240120,2,363,30
77,181,2,20230330,2,2480,10
78,159,9,20231223,4,1612,95
79,60,2,20230123,3,635,189
80,375,9,20230625,4,2198,133
81,442,1,20241217,2,2680,162
82,45,7,20220427,1,2305,16
83,345,7,20230914,2,2588,58
84,163,2,20240110,2,1062,95
85,325,6,20241001,5,413,32
86,146,10,20240113,4,2110,189
87,301,9,20221017,5,150,24
88,423,5,20241230,2,2548,81
89,278,3,20231031,3,486,31
90,85,8,20221109,2,781,136
91,199,5,20220218,2,1697,212
92,145,6,20240426,4,1699,188
93,199,8,20240809,3,93,60
94,236,3,20240120,3,2046,49
95,380,8,20220412,5,1181,199
96,239,4,20240214,2,1400,113
97,57,1,20240704,3,1597,169
98,261,2,20240422,4,1921,183
99,201,3,20240718,2,319,191
100,256,2,20231205,5,2976,116
101,463,9,20241201,2,766,18
102,299,9,20240723,4,2515,45
103,247,2,20240628,4,2278,93
104,187,8,20221109,3,2130,141
105,134,6,20240720,2,231,110
106,14,7,20240416,5,1209,39
107,356,8,20240929,3,2756,106
108,127,3,20230424,4,1945,114
109,386,10,20231109,5,1117,216
110,327,3,20220820,3,539,60
111,41,1,20220831,3,2287,100
112,198,6,20221022,1,1232,192
113,117,2,20230828,5,69,221
114,475,3,20220615,3,2571,55
115,61,3,20230506,1,1971,138
116,362,6,20221010,2,2169,84
117,159,10,20220615,1,533,71
118,474,4,20241204,3,1393,40
119,457,10,20240608,5,2256,180
120,374,5,20220327,1,2785,161
121,156,3,20230927,1,1428,96
122,349,7,20220528,2,1888,28
123,160,2,20240228,4,184,62
124,18,7,20231104,5,2269,131
125,106,7,20220918,5,2848,206
126,260,3,20231216,4,52,31
127,473,3,20241208,5,744,81
128,464,7,20220801,5,229,70
129,356,2,20241010,1,2697,52
130,497,4,20220102,2,1687,149
131,431,9,20221009,5,2615,210
132,87,3,20220813,4,921,57
133,30,10,20220104,1,439,108
134,383,3,20240927,1,707,172
135,20,2,20240712,2,163,45
136,174,6,20230712,5,1321,161
137,342,6,20230208,5,1790,184
138,168,9,20220403,4,2064,42
139,85,8,20231104,2,856,61
140,280,10,20230416,2,2532,117
141,466,4,20240819,3,2311,116
142,388,3,20241213,1,732,134
143,478,4,20230522,3,1358,195
144,178,5,20220510,3,1528,213
145,40,1,20221009,1,2754,104
146,115,7,20240917,5,417,125
147,220,1,20231215,3,545,231
148,59,8,20231008,5,1699,173
149,447,2,20240514,4,2552,211
150,193,2,20221008,4,367,89
151,444,2,20230204,3,261,229
152,13,10,20240304,3,996,92
153,240,3,20230316,5,1716,141
154,317,9,20220818,2,827,214
155,315,9,20220220,4,415,231
156,426,7,20240605,5,1697,104
157,453,2,20220602,5,197,135
158,114,3,20231230,2,2850,56
159,119,9,20220813,2,976,154
160,297,8,20230609,2,1351,52
161,113,10,20241018,1,2888,41
162,184,3,20220622,5,1628,38
163,145,1,20240715,5,326,235
164,407,4,20230421,1,1700,43
165,113,2,20230330,5,1227,191
166,65,1,20240909,1,1637,47
167,141,2,20230225,5,2155,172
168,332,3,20240716,5,16,180
169,80,3,20230818,3,1813,183
170,446,5,20230826,5,2786,72
171,426,2,20230223,1,2892,197
172,37,7,20240616,3,1381,178
173,35,8,20230715,3,238,194
174,425,9,20231018,1,2909,140
175,43,3,20220510,2,1127,59
176,472,4,20230210,2,2308,146
177,95,6,20230305,5,368,119
178,245,5,20220409,1,14,208
179,465,6,20240428,1,685,106
180,1,7,20240602,5,957,167
181,221,8,20220611,4,2636,98
182,173,4,20220108,4,1115,210
183,180,5,20220204,3,191,80
184,66,5,20220912,3,2450,233
185,325,4,20241116,5,1602,214
186,459,1,20240302,1,2834,153
187,42,9,20241222,4,318,171
188,162,4,20240413,2,1218,233
189,89,3,20240407,5,2826,15
190,198,5,20221115,2,598,185
191,499,1,20220715,5,327,123
192,235,1,20220203,1,1937,132
193,125,7,20220624,5,850,176
194,224,4,20231016,5,2086,133
195,88,6,20240406,2,11,207
196,377,7,20230908,2,1329,174
197,202,7,20220701,2,1246,175
198,111,3,20221102,1,1768,211
199,162,5,20230131,3,1479,89
200,21,6,20240418,2,1387,190
201,109,4,20240227,5,1674,191
202,311,5,20240712,5,1761,116
203,489,5,20230701,4,307,107
204,135,10,20221019,4,25,222
205,344,7,20240804,1,1068,184
206,346,7,20231112,5,486,55
207,180,7,20240620,2,2961,106
208,236,2,20221030,2,2630,49
209,216,7,20220809,5,1788,172
210,495,6,20241125,1,1453,25
211,40,1,20220212,1,2546,62
212,5,6,20220404,5,1602,53
213,414,1,20230127,2,2206,78
214,158,4,20220312,2,1451,190
215,27,2,20240321,3,1890,15
