log_id,product_id,plant_id,date_key,operator_id,defect_type,rework_hours
1,456,2,20240423,1145,Scratch,2.04
2,84,4,20230514,785,Dent,4.25
3,372,9,20231107,2726,Misalignment,3.02
4,98,6,20240520,780,Misalignment,1.85
5,292,8,20240919,1278,Misalignment,1.09
6,329,4,20241228,2681,Scratch,4.87
7,3,10,20231001,1724,Misalignment,3.5
8,323,8,20240322,1290,Misalignment,0.51
9,388,10,20241203,402,Dent,2.64
10,51,7,20220228,200,Color Deviation,1.93
11,309,1,20241211,2926,Misalignment,3.68
12,79,4,20230926,1015,Scratch,2.47
13,195,4,20220511,2574,Misalignment,4.19
14,131,5,20220121,415,Scratch,0.92
15,435,10,20220621,617,Scratch,0.75
16,379,4,20220621,2097,Dent,3.12
17,265,1,20230524,2065,Misalignment,4.22
18,322,1,20230509,2426,Color Deviation,3.66
19,286,7,20221217,722,Color Deviation,4.3
20,400,1,20241027,1110,Misalignment,3.98
21,356,4,20240625,2793,Color Deviation,4.9
22,109,7,20230125,2132,Scratch,2.32
23,189,2,20221024,661,Dent,3.99
24,91,8,20241007,260,Scratch,0.72
25,296,8,20220716,2000,Misalignment,4.84
26,368,10,20220704,1663,Dent,2.94
27,194,8,20230531,1547,Color Deviation,4.0
28,103,8,20230421,2329,Scratch,2.21
29,9,2,20220206,2348,Misalignment,1.66
30,8,7,20221120,1593,Dent,1.48
31,476,7,20240221,1976,Scratch,2.28
32,61,4,20220603,2500,Color Deviation,1.38
33,90,7,20240511,1871,Color Deviation,1.08
34,182,3,20230614,921,Dent,1.21
35,187,8,20220206,1717,Misalignment,4.4
36,397,6,20230708,1272,Dent,2.6
37,325,7,20220908,2086,Scratch,1.4
38,345,5,20220825,134,Scratch,4.77
39,185,6,20240714,2912,Color Deviation,1.13
40,327,5,20231209,548,Scratch,3.59
41,135,4,20220625,206,Color Deviation,1.67
42,453,9,20240623,2299,Scratch,1.69
43,43,10,20230629,1895,Scratch,1.17
44,149,2,20241226,159,Color Deviation,3.31
45,331,8,20220409,2848,Misalignment,1.61
46,13,2,20230513,1204,Misalignment,3.07
47,497,2,20220817,542,Dent,2.79
48,302,8,20240923,2337,Scratch,3.89
49,25,10,20240103,1498,Dent,0.95
50,223,8,20230830,2209,Misalignment,4.95
51,223,10,20220811,65,Dent,0.66
52,49,9,20221227,1158,Misalignment,3.34
53,39,6,20221221,88,Misalignment,1.68
54,54,7,20240321,2112,Dent,1.39
55,109,6,20240301,1126,Scratch,1.48
56,268,10,20230330,1793,Color Deviation,2.02
57,58,10,20240130,575,Scratch,2.85
58,359,2,20240815,836,Dent,0.82
59,52,6,20230607,1807,Dent,2.86
60,78,8,20220716,2420,Scratch,1.27
61,353,5,20230607,644,Dent,2.65
62,68,6,20221103,2457,Scratch,3.31
63,64,5,20240506,1286,Dent,1.1
64,285,7,20240120,51,Color Deviation,4.63
65,346,4,20220426,1480,Color Deviation,4.13
66,6,3,20220725,642,Color Deviation,1.78
67,478,2,20241206,2171,Color Deviation,4.71
68,204,10,20230310,1313,Dent,1.84
69,87,8,20240907,1065,Scratch,2.2
70,326,3,20230512,1216,Scratch,2.4
71,440,5,20220207,692,Scratch,1.8
72,398,9,20240305,399,Misalignment,2.28
73,281,6,20240311,1885,Color Deviation,2.65
74,125,3,20220507,1833,Color Deviation,0.62
75,459,5,20220902,1257,Dent,4.11
76,222,2,20220810,2249,Dent,0.88
77,279,5,20230422,1965,Color Deviation,1.46
78,194,3,20231125,217,Dent,1.71
79,294,9,20240131,293,Color Deviation,3.17
80,26,1,20241014,2112,Dent,4.56
81,17,8,20230426,2784,Scratch,1.27
82,135,9,20240328,282,Misalignment,1.95
83,70,6,20240109,1219,Misalignment,1.29
84,175,8,20221004,609,Color Deviation,2.68
85,185,9,20230203,1020,Dent,4.67
86,439,7,20220818,2979,Dent,3.27
87,390,1,20240306,550,Misalignment,4.2
88,78,4,20220927,2172,Misalignment,2.64
89,218,1,20240420,38,Dent,1.26
90,289,2,20231121,2702,Scratch,2.56
91,455,3,20240902,2317,Color Deviation,0.79
92,246,4,20241009,2993,Color Deviation,3.81
93,78,4,20230513,1371,Scratch,0.7
94,243,9,20230411,1710,Dent,0.72
95,25,9,20240407,2647,Misalignment,4.7
96,190,9,20240522,2430,Dent,2.5
97,163,5,20240917,456,Scratch,1.44
98,396,5,20241205,2211,Dent,3.02
99,102,10,20221101,376,Dent,1.2
100,143,2,20230605,2407,Misalignment,1.15
101,161,3,20240629,538,Misalignment,4.95
102,132,2,20230920,2504,Misalignment,2.02
103,146,2,20221213,1059,Dent,1.93
104,202,6,20240701,528,Scratch,0.8
105,322,6,20241125,2965,Color Deviation,4.36
106,103,2,20221221,2276,Scratch,4.67
107,179,2,20240409,164,Scratch,1.34
108,46,4,20240610,1210,Misalignment,1.19
109,62,4,20230806,2616,Color Deviation,4.49
110,406,1,20240316,2445,Misalignment,2.25
111,130,7,20220522,1497,Color Deviation,3.44
112,372,3,20231122,236,Scratch,2.6
113,316,5,20241129,2691,Misalignment,2.24
114,370,3,20230113,259,Color Deviation,3.24
115,450,6,20230905,2138,Color Deviation,3.92
116,295,5,20231219,1942,Scratch,1.29
117,402,8,20221206,1017,Scratch,1.43
118,444,1,20231029,1422,Color Deviation,2.09
119,37,5,20240128,1089,Misalignment,1.39
120,331,7,20240330,224,Dent,1.2
121,259,9,20240823,1058,Color Deviation,0.98
122,192,8,20230316,656,Misalignment,1.72
123,152,1,20230320,86,Scratch,1.55
124,144,7,20220911,40,Scratch,2.11
125,456,10,20240911,1365,Color Deviation,3.79
126,223,1,20240731,2354,Dent,3.84
127,480,1,20220827,497,Scratch,3.51
128,172,4,20220207,1716,Misalignment,1.41
129,23,1,20221127,2107,Dent,0.98
130,442,7,20220503,1820,Dent,4.01
131,120,5,20240324,2973,Scratch,3.14
132,314,5,20240220,620,Dent,1.95
133,289,2,20240609,1722,Scratch,2.82
134,362,4,20240107,1639,Scratch,0.71
